Year;Code;Number;Line;CreationDate;ModificationDate;Name;Value;BeneficiaryCode;BeneficiaryName;IrisCode;Sector;ActionCode;ActionName
2009;IRIS ;270908;1;20091112;20091112;09001693 - 1;102872300;6848;SEMIDEP SOC ECONOMIE MIXTE IMMOB      ;09001693;LO                  ;15400502            ;Logements des jeunes et des apprentis
2009;IRIS ;270909;1;20091112;20091112;09001309 - 1;19500;39163;CORDIER                               ;09001309;LO                  ;15400406            ;Lutte contre le saturnisme
2009;IRIS ;270910;1;20091112;20091112;09001342 - 1;759645;34066;IBERT GESTION                         ;09001342;LO                  ;15400406            ;Lutte contre le saturnisme
2009;IRIS ;270911;1;20091112;20091112;09001355 - 1;5047750;1256;COMMUNE DE MONTREUIL                  ;09001355;LO                  ;15400406            ;Lutte contre le saturnisme
2009;IRIS ;270912;1;20091112;20110119;09001374 - 1;560450;34;COMMUNE DE VILLENEUVE SAINT GEORGES   ;09001374;LO                  ;15400406            ;Lutte contre le saturnisme
2009;IRIS ;270913;1;20091112;20091112;09001481 - 1;76162;33795;CABINET MEDIA                         ;09001481;LO                  ;15400406            ;Lutte contre le saturnisme
2009;IRIS ;270914;1;20091112;20091112;09001486 - 1;846545;27694;FONCIA BELCOURT                       ;09001486;LO                  ;15400406            ;Lutte contre le saturnisme
2009;IRIS ;273469;1;20091203;20091203;09003055 - 1;97403;25647;ASSOCIATION RELAIS HABITAT            ;09003055;LO                  ;15400406            ;Lutte contre le saturnisme
2009;AE   ;245214;1;20090204;20090206;PARIS 10 16 RUE STE MARTHE TAG;1040000;29235;TAGERIM ILE DE FRANCE TAGERIM IDF     ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245215;1;20090204;20090204;PARIS 10 20 RUE MOINON TR 2 SO;154192;17668;SOGI SOCIETE ORFILA DE GESTION        ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245219;1;20090204;20090204;PARIS 11 4 RUE POPINCOURT M. P;109866;2112;PERISSOL                              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245237;1;20090204;20090204;PARIS 18 2 RUE STEPHENSON TR4;565322;36519;GUERRIER                              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245239;1;20090204;20090204;PARIS 19 90 QUAI DE LA LOIRE C;11275;29010;LAMY                                  ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245241;1;20090204;20110105;PARIS 19 16 RUE DE NANTES AG C;763319;36814;CABINET HABERT                        ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245252;1;20090204;20090204;PARIS 20 40 RUE DE BELLEVILLE;523727;13362;CABINET VILLA GROUPE VILLA            ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
